Experiment Name,System Type,Timestamp,Total Runtime (s),Eval Runtime (s),Retrieval precision@1,Retrieval precision@3,Retrieval precision@5,Retrieval recall@1,Retrieval recall@3,Retrieval recall@5,Retrieval page_recall@1,Retrieval page_recall@3,Retrieval page_recall@5,Retrieval ndcg@1,Retrieval ndcg@3,Retrieval ndcg@5,Retrieval map,Retrieval mrr,Generation exact_match,Generation contains_match,Generation token_f1,Generation bleu,Generation rouge1,Generation rouge2,Generation rougeL,Generation semantic_similarity
1_Baseline,Baseline,2026-04-16 11:24:35,13.35,0.73,0.5,0.3333,0.2,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.75,0.75,0.6667,0.6667,0.5,0.5,0.6667,0.0,0.6667,0.125,0.6667,0.6667
2_Chunking_fixed_size,Advanced,2026-04-16 11:49:17,1481.3,161.96,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333,0.0,0.3333,0.0,0.3333,0.3333
2_Chunking_semantic,Advanced,2026-04-16 13:53:01,7028.64,149.9,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5
2_Chunking_hierarchical,Advanced,2026-04-16 15:47:01,6839.99,601.34,1.0,0.3333,0.2,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_standard,Advanced,2026-04-16 15:57:39,637.16,601.26,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_hyde,Advanced,2026-04-16 16:29:51,246.41,216.3,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6111,0.0,0.6111,0.0,0.6111,0.6111
3_QueryTech_query_decomposition,Advanced,2026-04-16 16:35:49,358.24,329.13,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5
3_QueryTech_query_rewriting,Advanced,2026-04-16 16:41:19,329.75,297.91,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5
3_QueryTech_query_expansion,Advanced,2026-04-16 16:44:07,168.02,137.73,1.0,0.3333,0.2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.6111,0.0,0.6111,0.5
4_Prompting_standard,Advanced,2026-04-16 16:47:59,230.87,195.56,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6111,0.0,0.6111,0.0,0.6111,0.6111
4_Prompting_few_shot,Advanced,2026-04-16 16:50:49,170.06,139.03,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5
4_Prompting_role,Advanced,2026-04-16 16:53:29,160.41,130.82,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0065,0.0,0.0065,0.0,0.0065,0.0065
4_Prompting_cot,Advanced,2026-04-16 16:57:18,228.35,199.64,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5
4_Prompting_ensemble,Advanced,2026-04-16 17:05:37,499.2,468.98,0.5,0.1667,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6111,0.0,0.6111,0.0,0.6111,0.6111
5_Multimodal_Retrieval,Advanced,2026-04-16 17:16:09,631.84,600.95,0.5,0.3333,0.2,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.8155,0.8155,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
